品名,出し方,備考
オートバイ,市が収集しないもの,・購入店に相談  ・「二輪車リサイクルシステム」（バイクメーカーの取り組み）  ・二輪車リサイクルコールセンター：050-3000-0727に相談（注）自転車やバイク部品のみは対象外
オーブン,粗大ごみ,事前申し込み制
オーブンレンジ,粗大ごみ,事前申し込み制
オーブントースター,粗大ごみ,事前申し込み制
桶（おけ）,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おたま,小物金属,小物金属　回収ボックス　へ、金属製以外のものは、家庭ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おはじき,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おひつ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
汚物入れ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おぼん,家庭ごみ,金属製のものは、小物金属  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おまる,家庭ごみ,指定袋に入らない大きさのものは、粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
おむつ,家庭ごみ,汚物を取り除いて
おもちゃ類,家庭ごみ,指定袋に入らない大きさのものは、粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
折込みチラシ（新聞）,古紙,
オルガン,粗大ごみ,事前申し込み制
オルゴール,家庭ごみ,
おろしがね（おろし器）,小物金属,小物金属　回収ボックス　へ、金属製以外のものは、家庭ごみ
おわん,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
温水洗浄機能付便座,粗大ごみ,事前申し込み制
温度計（水銀温度計を除く）,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ  水銀温度計は区役所・出張所の水銀体温計などの回収ボックスへ
温風ヒーター,粗大ごみ,事前申し込み制
カーオーディオ,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
カーテンレール,粗大ごみ,事前申込制
カーナビ,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックス
カーペット,粗大ごみ,事前申込制
カーペットローラー,家庭ごみ,
カーボン紙,家庭ごみ,
懐中電灯,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
回転ハンバー,粗大ごみ,事前申込制
買物カート（ショッピングカー、シルバーカー）,粗大ごみ,事前申込制
買物かご,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
カイロ（使い捨て）,家庭ごみ,
鏡,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
鍵,小物金属,小物金属回収ボックスへ
かき氷機,家庭ごみ,
額縁,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
かご,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
傘,家庭ごみ,折りたたみ傘は小物金属 回収ボックスへ
傘立て,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
加湿器,粗大ごみ,事前申込制
菓子箱の中仕切り（プラ製）,プラスチック,
菓子箱（紙製）,古紙,古紙回収ボックスへ
菓子のかん,かん・びん,
菓子袋（プラ製）,プラスチック,
ガスオーブン,粗大ごみ,事前申込制
ガスストーブ,粗大ごみ,事前申込制
ガス台（ガステーブル・ガスレンジ）,粗大ごみ,事前申込制
ガスレンジ,粗大ごみ,事前申込制
ガスレンジマット（アルミはく製）,家庭ごみ,
ガスボンベ（カセットボンベ以外）,市が収集しないもの,（注）販売店に相談　（参考）「市が収集しないもの」
カセットコンロ（卓上コンロ）,小物金属,小物金属回収ボックスへ  カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ  中身の残っているものは「市が収集しないもの」参照）
カセットボンベ,家庭ごみ,必ず中身を使い切ってから穴をあけずに  （中身の残っているものは本ホームページ「市が収集しないもの」参照）
カセットテープ（ケースを含む）,家庭ごみ,
カセット式テープレコーダー,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
カセットデッキ,粗大ごみ,事前申込制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
ガソリン,市が収集しないもの,（注）専門の処理業者に依頼
カタログ（パンフレット）,古紙,古紙回収ボックスへ
カッター（刃を含む）,家庭ごみ,新聞紙などに包んで
カッパ（雨具）,家庭ごみ,
カップめんなどのスープやかやくの袋,プラスチック,
カップめんなどのふた（紙製）,家庭ごみ,
カップめんなどのふた（プラ製）,プラスチック,
カップめんなどの容器・フィルム,プラスチック,紙製の容器は家庭ごみ
金づち（とんかち）,小物金属,小物金属　回収ボックスへ
加熱式たばこ,電池類,電池類　回収ボックスへ
かばん,家庭ごみ,
画板,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
画びょう,小物金属,小物金属　回収ボックスへ  透明のビニール袋に入れて
花びん,家庭ごみ,新聞紙などに包んで  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
釜,小物金属,小物金属　回収ボックスへ
鎌,家庭ごみ,新聞紙などに包んで
紙おむつ,家庭ごみ,汚物を取り除いて
紙コップ,家庭ごみ,
紙皿,家庭ごみ,
かみそり,家庭ごみ,新聞紙などに包んで
紙パック（飲料用）,紙パック,紙パック　回収ボックス　へ  内側がアルミのものは、家庭ごみ
紙袋,古紙,紙は、古紙　回収ボックスへ  紙以外のものは除いて、家庭ごみへ
紙やすり,家庭ごみ,
カメラ,家庭ごみ,デジタルカメラや小型のもの（概ね25センチ×8.5センチ以内）のものは小型電子機器　回収ボックスへ
カメラのケース,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
カメラのレンズ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
カラーボックス,粗大ごみ,事前申込制
カラオケセット,粗大ごみ,事前申込制
からしのチューブ（ふたを含む）,プラスチック,中身を使い切って
ガラス,家庭ごみ,新聞紙などに包んで  指定袋に入らない大きさのものは粗大ごみ
ガラス製品（コップ、皿など）,家庭ごみ,新聞紙などに包んで
カレンダー（紙製）,古紙,古紙　回収ボックスへ  金具は外して
革製品,家庭ごみ,
皮むき器,家庭ごみ,金属製のものは小物金属　回収ボックスへ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
瓦,粗大ごみ,事前申込制
かん（飲料・食料用）,かん・びん,
かん（飲料・食料用以外）,家庭ごみ,
かん（食用油かん）,かん・びん,油をよく落として
かん（ペットフードかん）,かん・びん,油と汚れをよく落として
かん（一斗缶）,家庭ごみ,中身を使い切って
かんのふた（金属製）,小物金属,小物金属　回収ボックスへ
換気扇,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
缶切り,小物金属,小物金属　回収ボックスへ
緩衝材（プラ製）,プラスチック,
乾燥機（食器用、布団用）,粗大ごみ,事前申込制  衣類乾燥機（ドラム式）は販売店などに引き取りを依頼
乾燥剤,家庭ごみ,
乾電池（充電式でないもの）,電池類,電気類　回収ボックスへ  必ず、絶縁ビニールテープ等で電極部分を絶縁して、家庭ごみにも出せる。  充電式・ボタン型電池は、別記
感熱紙,家庭ごみ,
キーボード（楽器）,粗大ごみ,事前申込制 （注）ピアノは専門の処理業者に相談
キーホルダー,家庭ごみ,金属製のものは小物金属　回収ボックス　へ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ギター,粗大ごみ,事前申込制
キッチンストッカー,粗大ごみ,事前申込制
キッチンバサミ,小物金属,小物金属　回収ボックス　へ
木の枝・幹,家庭ごみ,（参考）「緑のリサイクル」
着物,家庭ごみ,
脚立,粗大ごみ,事前申込制
キャップ・ふた（金属製）,小物金属,小物金属　回収ボックス　へ
キャップ・ふた（プラ製）,プラスチック,
キャリア（車の上に取り付けるもの）,粗大ごみ,事前申込制
急須,家庭ごみ,金属製のものは小物金属回収ボックスへ
給湯器,粗大ごみ,事前申込制
牛乳パック,紙パック,紙パック　回収ボックス　へ
給油ポンプ,家庭ごみ,
鏡台,粗大ごみ,事前申込制
銀紙,家庭ごみ,
金魚ばち,家庭ごみ,新聞紙などに包んで  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
金庫,市が収集しないもの,（注）専門の処理業者に依頼
金庫（手さげ金庫）,粗大ごみ,事前申込制
空気入れ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
空気清浄器,粗大ごみ,事前申込制
クーラーボックス,粗大ごみ,事前申込制
くぎ,小物金属,透明のビニール袋に入れて　小物金属　回収ボックス　へ
草,家庭ごみ,
草刈り機,粗大ごみ,事前申込制
くさり,小物金属,小物金属　回収ボックス　へ
櫛（くし）,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
串,家庭ごみ,金属製のものは小物金属　回収ボックス　へ
薬（家庭用医薬品）,家庭ごみ,
薬（錠剤・カプセル）の包装シート,プラスチック,
薬の容器・小袋（プラ製）,プラスチック,
薬（のみ薬）のびん,かん・びん,
果物などのネット,プラスチック,
靴（くつ）,家庭ごみ,
クリーニングのビニール袋,プラスチック,
クリップ,小物金属,透明のビニール袋に入れて　小物金属　回収ボックス　へ
クリアファイル,プラスチック,
車いす（電動式を除く）,粗大ごみ,事前申込制
車いす（電動式）,市が収集しないもの,（注）販売店に相談
グロー球,家庭ごみ,
グローブ（野球用など）,家庭ごみ,
鍬（くわ）,粗大ごみ,事前申込制 小型のものは家庭ごみ
くん煙剤,家庭ごみ,未使用の場合  水を入れるものは水がかからないように包んで  火をつけるものは水に浸して
蛍光管（環型、直型）,蛍光管回収ボックス,蛍光管回収ボックスへ  割れたものは家庭ごみ  LED蛍光灯は家庭ごみ
蛍光灯（電球型）,家庭ごみ,
携帯電話（スマートフォン・ガラホ含む）,小型電子機器,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
計量カップ,家庭ごみ,金属製のものは小物金属回収ボックスへ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
計量スプーン,家庭ごみ,金属製のものは小物金属回収ボックスへ プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ケーキ型,小物金属,小物金属回収ボックスへ、金属製以外のものは家庭ごみ
ケーブル,小型電子機器,小型電子機器回収ボックスへ
ゲーム機,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
ゲームソフト,家庭ごみ,
化粧品のびん,かん・びん,
化粧品のびんのふた（プラ製）,プラスチック,
げた箱,粗大ごみ,
ケチャップのチューブ（ふたを含む）,プラスチック,中身を使い切って
血圧計（水銀血圧計を除く）,家庭ごみ,電子式で小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ 水銀血圧計は、水銀血圧計回収ボックスへ
毛抜き,小物金属,小物金属回収ボックスへ
剣山,小物金属,小物金属回収ボックスへ
工具箱（金属製）,小物金属,小物金属回収ボックスへ　金属製以外のものは家庭ごみ
広告・チラシ,古紙,古紙回収ボックスへ
香水のびん,家庭ごみ,
コート掛け,粗大ごみ,事前申込制
コード類,小型電子機器,小型電子機器回収ボックスへ
コードリール,家庭ごみ,小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
コーヒーミル,家庭ごみ,
コーヒーメーカー,家庭ごみ,
固形燃料,家庭ごみ,
ござ,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
こたつ（こたつ板を含む）,粗大ごみ,事前申込制
こたつ布団,粗大ごみ,事前申込制
コップ型のびん（日本酒など）,かん・びん,
コップ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
琴,粗大ごみ,事前申込制
子供用遊具,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
粉ふるい器,小物金属,小物金属回収ボックスへ、金属製以外のものは家庭ごみ
碁盤,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
コピー機,粗大ごみ,事前申込制
ごみ箱,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  金属製のものは小物金属  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ゴム類（手袋、長靴等）,家庭ごみ,
ゴムボート,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
ゴムマット,家庭ごみ,
米びつ（ハイザー）,粗大ごみ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
米袋（紙製）,家庭ごみ,
米袋（プラ製）,プラスチック,
コルク抜き,小物金属,小物金属回収ボックスへ
ゴルフクラブ,粗大ごみ,事前申込制
ゴルフバッグ,粗大ごみ,事前申込制
ゴルフセット,粗大ごみ,事前申込制
コンタクトレンズのケース,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
コンパス,小物金属,小物金属回収ボックスへ 金属製以外のものは家庭ごみ
コンビニ弁当の容器,プラスチック,
コンポスト化容器,粗大ごみ,事前申込制
コンロ（卓上式）,小物金属,小物金属回収ボックスへ カセットボンベは中身を使い切ってから穴をあけずに家庭ごみへ（中身の残っているものは「市が収集しないもの」参照）
コンロ（卓上式以外）,粗大ごみ,事前申込制
サーキュレーター,家庭ごみ,
サーフボード,粗大ごみ,事前申込制
サイクリングマシン,粗大ごみ,事前申込制
座いす,粗大ごみ,事前申込制
サイドボード,粗大ごみ,事前申込制
材木類（長さ2メートル以下、直径20センチ以下）,粗大ごみ,事前申込制
酒パック,紙パック,内側がアルミのものは家庭ごみ
座卓,粗大ごみ,事前申込制
雑誌,古紙,古紙回収ボックスへ
殺虫剤,市が収集しないもの,（注）専門の処理業者に依頼
殺虫剤スプレー缶,家庭ごみ,必ず使い切ってから、穴をあけないで
座布団,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
皿,家庭ごみ,新聞紙などに包んで  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
サラダ油のかん,かん・びん,油をよく落として
サラダ油の容器（プラ製）,プラスチック,中身を使い切って
ざる,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
三角コーナー,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
三脚,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
三輪車,粗大ごみ,事前申込制
CD（ケースを含む）,プラスチック,
CDチェンジャー,粗大ごみ,事前予約制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
CDプレーヤー,粗大ごみ,事前予約制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
CDラジカセ,粗大ごみ,事前予約制  小型（概ね25センチ×8.5センチ以内）のものは小型電子機器回収ボックスへ
シェーバー（ひげそり）,家庭ごみ,金属製のものは小物金属回収ボックスへ  電気シェーバーは小型電子機器回収回収ボックスへ
磁石,家庭ごみ,鉄製は小物金属回収ボックスへ
辞書,古紙,古紙回収ボックスへ
七輪,粗大ごみ,事前予約制
湿気取りの容器（使い捨て）,プラスチック,
室内物干し,粗大ごみ,事前予約制
自転車,粗大ごみ,事前予約制
自動車,市が収集しないもの,（注）販売店に相談
芝刈り機,粗大ごみ,事前予約制
シャープペンシル,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
シャープペンシルの芯のケース,プラスチック,
写真,家庭ごみ,
写真フィルムのケース,プラスチック,
ジャッキ,粗大ごみ,事前予約制
シャベル（ショベル）,粗大ごみ,事前予約制
ジャングルジム（子供用遊具）,粗大ごみ,事前予約制
シャンデリア,粗大ごみ,事前予約制
シャンプー詰替用袋,プラスチック,
シャンプー容器,プラスチック,
週刊誌,古紙,古紙回収ボックスへ
ジューサー,家庭ごみ,
じゅうたん,粗大ごみ,事前予約制
充電式電池,電類類,一般社団法人JBRCの回収協力店にお持ちくだい。  詳細は、一般社団法人JBRCのホームページ（外部リンク）をご確認いただくか、お近くの家電量販店に直接ご確認ください。
収納箱（衣装ケース）,粗大ごみ,事前予約制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
シューズボックス,粗大ごみ,事前予約制
ジュニアシート,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
シュレッダー（家庭用）,粗大ごみ,事前予約制
シュレッダー処理後の紙,古紙,古紙回収ボックスへ  散らばらないように袋に入れて
瞬間湯沸し器,粗大ごみ,事前予約制
消火器,市が収集しないもの,（注）販売店または株式会社消火器リサイクル推進センター：03-5829-6773（祝日を除く月曜日から金曜日9時から12時、13時から17時）に相談
定規（じょうぎ）,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
将棋盤,家庭ごみ,
障子,粗大ごみ,事前予約制
浄水器,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
照明器具,粗大ごみ,事前予約制
じょうろ,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
食品用トレイ,プラスチック,
食用油,家庭ごみ,布や紙にしみこませるか固形化してから家庭ごみへ  できるだけペットボトルに入れて、スーパーなどの回収ボックスへ  （注）詳細は、使用済み食用油の回収についてをご覧下さい。
食用油のかん・びん,かん・びん,油をよく落として
食用油の容器（プラ製）,プラスチック,中身を使い切って
食用油の容器のふた（金属製）,小物金属,小物金属回収ボックスへ  油は紙等でふきとって
食用油の容器のふた（プラ製）,プラスチック,
除湿器,粗大ごみ,事前予約制
除湿剤の容器,プラスチック,
食器類,家庭ごみ,新聞紙などで包んで  割れてしまったものも含む  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
食器（洗い）乾燥機,粗大ごみ,事前予約制
食器棚,粗大ごみ,事前予約制
ショッピングカー,粗大ごみ,事前予約制
シルバーカー,粗大ごみ,事前予約制
人工芝,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ
新聞紙,古紙,古紙回収ボックスへ
水銀体温計・水銀血圧計・水銀体温計,区役所または出張所の回収ボックスへ,水銀体温計回収ボックスへ  壊れたものは、硬い紙などで直接触れないようすべて集め、ポリ袋に入れ、家庭ごみで出してください
水槽,粗大ごみ,事前申込制
水筒,家庭ごみ,金属製のものは小物金属回収ボックスへ
炊飯器,粗大ごみ,事前申込制
スーツケース（キャリーバッグ）,粗大ごみ,事前申込制
姿見,粗大ごみ,事前申込制
スキャナー,粗大ごみ,事前申込制
スキー靴,家庭ごみ,
スキーセット  （スキー板とストック）,粗大ごみ,事前申込制
スクリーン,粗大ごみ,事前申込制
スケート靴,家庭ごみ,
スケートボード,粗大ごみ,事前申込制
スコップ,小物金属,金属製の長さが30センチ未満のものは、小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック  それ以外は、家庭ごみ  指定袋に入らない大きさのものは粗大ごみ
すだれ,家庭ごみ,指定袋に入らない大きさのものは粗大ごみ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
スタンドミラー（姿見）,粗大ごみ,事前申込制
スチールかん（飲料・食品用）,かん・びん,
スチール棚,粗大ごみ,事前申込制
ステップマシーン,粗大ごみ,事前申込制
ステレオセット,粗大ごみ,事前申込制
ステレオラック,粗大ごみ,事前申込制
ストーブ,粗大ごみ,灯油は抜いて  事前申込制
ストーブガード,粗大ごみ,事前申込制
ストロー,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
砂（鉢植えなどから出た少量のもの）,家庭ごみ,
砂（多量のもの）,粗大ごみ,事前申込制
スナック菓子などの袋,プラスチック,
スノーボード,粗大ごみ,事前申込制
すのこ,粗大ごみ,事前申込制 プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
スピーカー,粗大ごみ,事前申込制
スプーン,小物金属,小物金属回収ボックスへ  金属製以外のものは家庭ごみ
スプリングマットレス,粗大ごみ,事前申込制
スプレー缶,家庭ごみ,必ず使い切ってから、穴をあけないで
スプレー缶のキャップ（プラ製）,プラスチック,
すべり台（子供用遊具）,粗大ごみ,事前申込制
スポンジ,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
ズボンプレッサー,粗大ごみ,事前申込制
炭,家庭ごみ,
すり鉢,家庭ごみ,新聞紙などに包んで  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
生理用品,家庭ごみ,
石けん箱,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
せともの類,家庭ごみ,新聞紙などに包んで
セロハン,家庭ごみ,
洗剤（漂白剤など）,家庭ごみ,液体のものは布か紙にしみこませて
洗剤の計量カップ・スプーン,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
洗剤容器（紙製）,家庭ごみ,中身を使い切って
洗剤容器（プラ製）,プラスチック,中身を使い切って
洗浄機能付き便座,粗大ごみ,事前申込制
洗濯機（乾燥機付きのものを含む）,市が収集しないもの,（注）販売店などに引き取りを依頼
洗濯機棚,粗大ごみ,事前申込制
洗濯ハンガー,家庭ごみ,プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
剪定枝（せんていし）,家庭ごみ,（参考）「緑のリサイクル」のページ
剪定ばさみ,小物金属,小物金属回収ボックスへ
栓抜き,小物金属,小物金属回収ボックスへ
扇風機,粗大ごみ,事前申込制
せんべいの袋（プラ製）,プラスチック,
洗面器,家庭ごみ,金属製のものは小物金属回収ボックスへ  プラスチックだけでできており、1辺の長さが50センチ未満のもので指定袋に入る大きさのものは、プラスチック
洗面化粧台,粗大ごみ,事前申込制
掃除機,粗大ごみ,事前申込制
惣菜の容器（プラ製）,プラスチック,
即席めんの袋（プラ製）,プラスチック,
ソファー,粗大ごみ,事前申込制
